runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg1.started,BodySiteImg1.stopped,BodySiteImg2.started,BodySiteImg2.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,24,24,24,,,,,,,,,,,,,,,,,,,,,203.51640770002268,None,209.51611440000124,None,209.51611440000124,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,28,28,28,,,,,,,,,,,,,,,,,,,,,233.51629250007682,233.51629250007682,239.5161914001219,None,239.5161914001219,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,32,32,32,,,,,,,,,,,,,,,,,,,,,263.51679100003093,263.51679100003093,269.53295210003853,None,269.53295210003853,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,34,34,34,,,,,,,,,,,,,,,,,,,,,281.53353110002354,None,287.54963389993645,None,287.54963389993645,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,36,36,36,,,,,,,,,,,,,,,,,,,,,299.55010770005174,None,305.56635470013134,None,305.56635470013134,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,317.56675260001794,None,,,,,-82,321.41694038989954,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013523710193112493,None,40,321.6666774901096,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014161810046061873,None,-49,321.91701408987865,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,5,0,1,1,2,0,1,1,1,,,,,,,324.46611430007033,324.38293221993376,None,324.46611430007033,None,space,0.2489795918367347,324.46611430007033,None,,,,,,324.6842875001021,None,330.7001165000256,None,330.7001165000256,None,,,,,,,,,,,0.013481610221788287,None,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,6,0,1,1,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,354.700323499972,354.700323499972,360.7166675000917,None,360.7166675000917,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,5,0,1,1,2,0,7,7,7,,,,,,,,,,,,,,,,,,,,,372.7173051999416,None,378.7335546000395,None,378.7335546000395,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,6,0,1,1,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,390.7336629999336,None,396.7671551001258,None,396.7671551001258,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,5,0,1,1,2,0,13,13,13,,,,,,,,,,,,,,,,,,,,,420.76784089999273,420.76784089999273,426.7838570999447,None,426.7838570999447,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,6,0,1,1,2,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,438.800804000115,None,438.800804000115,438.800804000115,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,6,0,1,1,2,0,16,16,16,,,,,,,,,,,,,,,,,,,,,450.8010422999505,None,456.8013407001272,None,456.8013407001272,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder5.xlsx,6,0,1,1,2,0,18,18,18,,,,,,,,,,,,,,,,,,,,,468.80117819993757,None,474.80166320013814,None,474.80166320013814,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.8014728000853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
