sub,ses,run-1,run-2,run-3,run-4,run-5,run-6,run-7,run-8,run-9,run-10,run-11,run-12
sub-00001,ses-36,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00001,ses-37,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,,,,,,,,
sub-00001,ses-38,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00001,ses-39,distractmap1_acq-rightface,distractmap1_acq-leftarm,distractmap1_acq-chest,distractmap1_acq-rightleg,,,,,,,,
sub-00001,ses-40,distractmap1_acq-leftleg,,,,,,,,,,,
sub-00001,ses-41,distractmap1_acq-leftleg,distractmap1_acq-leftface,distractmap1_acq-leftleg,distractmap1_acq-leftface,,,,,,,,
sub-00001,ses-42,distractmap_acq-leftleg,distractmap_acq-leftface,distractmap_acq-leftleg,distractmap_acq-leftface,,,,,,,,
sub-00001,ses-43,movemap,movemap,movemap,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,
sub-00002,ses-01,bodymapST1_acq-leftarm,bodymapST1_acq-leftface,bodymapST1_acq-rightface,bodymapST1_acq-rightarm,pinellocalizer,,,,,,,
sub-00002,ses-02,bodymapST2_acq-chest,bodymapST2_acq-abdomen,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,,,,,,,,
sub-00002,ses-03,bodymapST1_acq-rightarm-no-thermode,bodymapST1_acq-rightface,bodymapST1_acq-leftarm,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,pinellocalizer,,,,,,
sub-00002,ses-04,bodymapST2_acq-abdomen,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-leftleg,,,,,,,,
sub-00002,ses-05,bodymapST1_acq-leftleg,bodymapST1_acq-chest,bodymapST1_acq-leftface,bodymapST1_acq-rightleg,,,,,,,,
sub-00002,ses-06,bodymapST2_acq-rightarm,,,,,,,,,,,
sub-00002,ses-07,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,pinellocalizer,,,,,,,
sub-00002,ses-08,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00002,ses-09,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00002,ses-10,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-chest,,,,,,,,,
sub-00002,ses-11,bodymapST2_acq-leftarm,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-rightface,,,,,,,,
sub-00002,ses-12,bodymapST1_acq-rightleg,bodymapST1_acq-leftface,bodymapST1_acq-leftleg,bodymapST1_acq-chest,,,,,,,,
sub-00002,ses-13,bodymapST2_acq-rightface,bodymapST2_acq-rightarm,bodymapST2_acq-leftarm,bodymapST2_acq-abdomen,,,,,,,,
sub-00002,ses-14,bodymapST1_acq-leftleg,bodymapST1_acq-leftface,bodymapST1_acq-chest,bodymapST1_acq-rightleg,,,,,,,,
sub-00002,ses-15,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-leftarm,bodymapST2_acq-rightface,,,,,,,,
sub-00002,ses-16,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-chest,bodymapST1_acq-leftface,,,,,,,,
sub-00002,ses-17,bodymapST2_acq-rightface,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-leftarm,,,,,,,,
sub-00002,ses-18,bodymapST1_acq-leftface,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-chest,,,,,,,,
sub-00002,ses-19,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00002,ses-20,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00002,ses-21,movemap,movemap,movemap,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,
sub-00003,ses-01,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,pinellocalizer,,,,,,,
sub-00003,ses-02,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-leftleg,bodymapST2_acq-abdomen,,,,,,,,
sub-00003,ses-03,bodymapST1_acq-leftleg,bodymapST1_acq-rightface,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,pinellocalizer,,,,,,,
sub-00003,ses-04,bodymapST2_acq-abdomen,bodymapST2_acq-chest,bodymapST2_acq-leftarm,bodymapST2_acq-leftface,,,,,,,,
sub-00003,ses-05,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00003,ses-06,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00003,ses-07,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-leftarm,bodymapST2_acq-abdomen,pinellocalizer,,,,,,,
sub-00003,ses-08,bodymapST2_acq-chest,bodymapST2_acq-abdomen,bodymapST2_acq-leftarm,bodymapST2_acq-leftface,,,,,,,,
sub-00003,ses-09,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00003,ses-10,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-rightarm,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00003,ses-11,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,bodymapST2_acq-chest,bodymapST2_acq-leftarm,,,,,,,,
sub-00003,ses-12,bodymapST1_acq-rightface,bodymapST1_acq-leftleg,bodymapST1_acq-rightleg,bodymapST1_acq-rightarm,pinellocalizer,,,,,,,
sub-00003,ses-13,bodymapST2_acq-leftface,bodymapST2_acq-abdomen,bodymapST2_acq-leftarm,bodymapST2_acq-chest,,,,,,,,
sub-00003,ses-14,bodymapST1_acq-leftleg,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00003,ses-15,bodymapST2_acq-chest,bodymapST2_acq-leftarm,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,,,,,,,,
sub-00003,ses-16,bodymapST1_acq-rightarm,bodymapST1_acq-rightface,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00003,ses-17,bodymapST2_acq-abdomen,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-leftarm,,,,,,,,
sub-00003,ses-18,distractmap1_acq-rightface,distractmap1_acq-leftleg,distractmap1_acq-rightarm,distractmap1_acq-rightleg,,,,,,,,
sub-00003,ses-19,distractmap2_acq-leftarm,distractmap2_acq-abdomen,distractmap2_acq-chest,distractmap2_acq-leftface,,,,,,,,
sub-00003,ses-20,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,bodymapST1_acq-rightface,bodymapST1_acq-rightleg,pinellocalizer,movemap,movemap,movemap,,,,
sub-00003,ses-21,bodymapST2_acq-chest,bodymapST2_acq-leftarm,bodymapST2_acq-leftface,bodymapST2_acq-abdomen,,,,,,,,
sub-00003,ses-22,bodymapST1_acq-rightleg,bodymapST1_acq-rightface,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,,,,,,,,
sub-00003,ses-23,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-leftarm,bodymapST2_acq-abdomen,pinellocalizer,,,,,,,
sub-00003,ses-24,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00003,ses-25,bodymapST2_acq-rightface,bodymapST2_acq-leftface,bodymapST2_acq-chest,bodymapST2_acq-leftleg,pinellocalizer,,,,,,,
sub-00003,ses-26,acceptmap-regulate_acq-leftarm,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-leftarm,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00003,ses-27,acceptmap-experience_acq-leftarm,acceptmap-experience_acq-leftface,acceptmap-experience_acq-leftarm,acceptmap-experience_acq-leftface,,,,,,,,
sub-00003,ses-28,movemap,movemap,movemap,pinellocalizer,hyperalignment_acq-kungfury,,,,,,,
sub-00003,ses-29,hyperalignment_acq-kungfury,,,,,,,,,,,
sub-00003,ses-30,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00004,ses-01,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00004,ses-02,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00004,ses-03,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-leftarm,bodymapST2_acq-rightface,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,
sub-00004,ses-04,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,bodymapST1_acq-leftface,,,,,,,,,
sub-00004,ses-05,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,bodymapST2_acq-rightleg,bodymapST2_acq-chest,,,,,,,,
sub-00004,ses-06,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,bodymapST1_acq-abdomen,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00004,ses-07,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,bodymapST2_acq-chest,bodymapST2_acq-rightleg,,,,,,,,
sub-00004,ses-08,bodymapST1_acq-leftleg,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00004,ses-09,bodymapST2_acq-rightleg,bodymapST2_acq-leftarm,bodymapST2_acq-rightface,bodymapST2_acq-chest,,,,,,,,
sub-00004,ses-10,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,bodymapST1_acq-abdomen,bodymapST1_acq-leftface,pinellocalizer,,,,,,,
sub-00004,ses-11,bodymapST2_acq-chest,bodymapST2_acq-rightleg,bodymapST2_acq-leftarm,bodymapST2_acq-rightface,,,,,,,,
sub-00004,ses-12,distractmap1_acq-abdomen,distractmap1_acq-rightarm,distractmap1_acq-leftface,distractmap1_acq-leftleg,,,,,,,,
sub-00004,ses-13,distractmap2_acq-leftarm,distractmap2_acq-chest,distractmap2_acq-rightleg,distractmap2_acq-rightface,,,,,,,,
sub-00004,ses-14,bodymapST1_acq-rightarm,bodymapST1_acq-abdomen,bodymapST1_acq-leftface,bodymapST1_acq-leftleg,,,,,,,,
sub-00004,ses-15,bodymapST2_acq-leftarm,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-rightface,pinellocalizer,,,,,,,
sub-00004,ses-16,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightarm,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightarm,,,,,,,,
sub-00004,ses-17,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,bodymapST2_acq-chest,bodymapST2_acq-rightleg,pinellocalizer,,,,,,,
sub-00004,ses-18,bodymapST1_acq-leftface,bodymapST1_acq-abdomen,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00004,ses-19,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightarm,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightarm,,,,,,,,
sub-00004,ses-20,distractmap1_acq-leftface,distractmap1_acq-rightarm,distractmap1_acq-leftface,distractmap1_acq-rightarm,pinellocalizer,movemap,movemap,movemap,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,
sub-00004,ses-21,distractmap2_acq-leftface,distractmap2_acq-rightarm,distractmap2_acq-leftface,distractmap2_acq-rightarm,pinellocalizer,,,,,,,
sub-00005,ses-01,bodymapST1_acq-abdomen,bodymapST1_acq-leftarm,bodymapST1_acq-rightleg,bodymapST1_acq-rightarm,,pinellocalizer,,,,,,
sub-00005,ses-02,bodymapST2_acq-leftleg,bodymapST2_acq-rightface,bodymapST2_acq-chest,bodymapST2_acq-leftface,,,,,,,,
sub-00005,ses-03,movemap,movemap,movemap,,,,,,,,,
sub-00005,ses-04,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-abdomen,,pinellocalizer,,,,,,
sub-00005,ses-05,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-chest,bodymapST2_acq-rightface,,,,,,,,
sub-00005,ses-06,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00005,ses-07,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightarm,bodymapST1_acq-abdomen,,pinellocalizer,,,,,,
sub-00005,ses-08,bodymapST2_acq-chest,bodymapST2_acq-rightface,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,,,,,,,,
sub-00005,ses-09,bodymapST1_acq-leftarm,bodymapST1_acq-rightleg,bodymapST1_acq-abdomen,bodymapST1_acq-rightarm,,,,,,,,
sub-00005,ses-10,pinellocalizer,,,,,,,,,,,
sub-00005,ses-11,bodymapST2_acq-leftface,bodymapST2_acq-chest,bodymapST2_acq-rightface,bodymapST2_acq-leftleg,pinellocalizer,,,,,,,
sub-00005,ses-12,bodymapST1_acq-abdomen,bodymapST1_acq-rightleg,bodymapST1_acq-rightarm,bodymapST1_acq-leftarm,,,,,,,,
sub-00005,ses-13,bodymapST2_acq-rightface,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-chest,pinellocalizer,,,,,,,
sub-00005,ses-14,distractmap1_acq-rightarm,distractmap1_acq-abdomen,distractmap1_acq-rightleg,distractmap1_acq-leftarm,,,,,,,,
sub-00005,ses-15,distractmap2_acq-rightface,distractmap2_acq-chest,distractmap2_acq-leftleg,distractmap2_acq-leftface,,,,,,,,
sub-00005,ses-16,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightarm,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00005,ses-17,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-chest,bodymapST2_acq-rightface,,,,,,,,
sub-00005,ses-18,bodymapST1_acq-abdomen,bodymapST1_acq-leftarm,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,pinellocalizer,,,,,,,
sub-00005,ses-19,bodymapST2_acq-chest,bodymapST2_acq-leftleg,bodymapST2_acq-rightface,bodymapST2_acq-leftface,,,,,,,,
sub-00005,ses-20,distractmap1_acq-leftarm,,,,,,,,,,,
sub-00005,ses-21,distractmap1_acq-leftarm,distractmap1_acq-rightleg,distractmap1_acq-rightarm,distractmap1_acq-abdomen,,,,,,,,
sub-00005,ses-22,movemap,movemap,movemap,,,,,,,,,
sub-00005,ses-23,acceptmap-experience_acq-leftleg,,,,,,,,,,,
sub-00005,ses-24,acceptmap-experience_acq-leftleg,,,,,,,,,,,
sub-00005,ses-25,acceptmap-experience_acq-leftleg,acceptmap-experience_acq-leftface,acceptmap-experience_acq-leftleg,acceptmap-experience_acq-leftface,,,,,,,,
sub-00005,ses-26,acceptmap-regulate_acq-leftleg,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00005,ses-27,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,pinellocalizer,,,,,,,
sub-00005,ses-28,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,pinellocalizer,,,,,,,
sub-00005,ses-29,distractmap_acq-rightface,distractmap_acq-leftface,distractmap_acq-rightface,distractmap_acq-leftface,,,,,,,,
sub-00005,ses-30,distractmap2_acq-rightface,distractmap2_acq-leftface,distractmap2_acq-rightface,distractmap2_acq-leftface,movemap,movemap,movemap,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,
sub-00006,ses-01,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,bodymapST1_acq-chest,bodymapST1_acq-leftarm,,,,,,,,
sub-00006,ses-02,pinellocalizer,,,,,,,,,,,
sub-00006,ses-03,bodymapST2_acq-rightleg,bodymapST2_acq-leftleg,bodymapST2_acq-rightface,bodymapST2_acq-abdomen,,,,,,,,
sub-00006,ses-04,movemap,movemap,movemap,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,
sub-00006,ses-05,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,bodymapST1_acq-chest,bodymapST1_acq-leftarm,,,,,,,,
sub-00006,ses-06,pinellocalizer,,,,,,,,,,,
sub-00006,ses-07,movemap,movemap,movemap,,,,,,,,,
sub-00006,ses-08,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,bodymapST2_acq-rightface,bodymapST2_acq-abdomen,,,,,,,,
sub-00006,ses-09,bodymapST1_acq-chest,bodymapST1_acq-leftarm,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,,,,,,,,
sub-00006,ses-10,bodymapST2_acq-leftleg,bodymapST2_acq-abdomen,bodymapST2_acq-rightleg,bodymapST2_acq-rightface,pinellocalizer,,,,,,,
sub-00006,ses-11,bodymapST1_acq-leftarm,bodymapST1_acq-leftface,bodymapST1_acq-chest,bodymapST1_acq-rightarm,pinellocalizer,,,,,,,
sub-00006,ses-12,bodymapST2_acq-leftleg,bodymapST2_acq-rightface,bodymapST2_acq-rightleg,bodymapST2_acq-abdomen,,,,,,,,
sub-00006,ses-13,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,bodymapST2_acq-rightface,bodymapST2_acq-abdomen,,,,,,,,
sub-00006,ses-14,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightleg,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightleg,,,,,,,,
sub-00006,ses-15,bodymapST1_acq-leftface,bodymapST1_acq-chest,bodymapST1_acq-rightarm,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00006,ses-16,distractmap1_acq-leftarm,,,,,,,,,,,
sub-00006,ses-17,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightleg,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightleg,,,,,,,,
sub-00006,ses-18,distractmap1_acq-leftface,distractmap1_acq-rightleg,distractmap1_acq-leftface,distractmap1_acq-rightleg,,,,,,,,
sub-00006,ses-19,distractmap2_acq-leftface,distractmap2_acq-rightleg,distractmap2_acq-leftface,distractmap2_acq-rightleg,,,,,,,,
sub-00006,ses-20,movemap,movemap,movemap,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,
sub-00007,ses-01,movemap,movemap,movemap,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,
sub-00007,ses-02,pinellocalizer,,,,,,,,,,,
sub-00007,ses-03,pinellocalizer,,,,,,,,,,,
sub-00007,ses-04,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,bodymapST1_acq-rightface,bodymapST1_acq-abdomen,,,,,,,,
sub-00007,ses-05,bodymapST2_acq-chest,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,bodymapST2_acq-leftarm,pinellocalizer,,,,,,,
sub-00007,ses-06,bodymapST1_acq-abdomen,bodymapST1_acq-rightface,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,,,,,,,,
sub-00007,ses-07,bodymapST2_acq-rightleg,bodymapST2_acq-leftleg,bodymapST2_acq-chest,bodymapST2_acq-leftarm,pinellocalizer,,,,,,,
sub-00007,ses-08,bodymapST1_acq-abdomen,bodymapST1_acq-rightface,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,pinellocalizer,,,,,,,
sub-00007,ses-09,bodymapST2_acq-leftleg,bodymapST2_acq-leftarm,bodymapST2_acq-rightleg,bodymapST2_acq-chest,,,,,,,,
sub-00007,ses-10,bodymapST2_acq-leftleg,bodymapST2_acq-leftarm,bodymapST2_acq-chest,bodymapST2_acq-rightleg,,,,,,,,
sub-00007,ses-11,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,bodymapST1_acq-rightface,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00007,ses-12,bodymapST2_acq-leftarm,bodymapST2_acq-chest,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,,,,,,,,
sub-00007,ses-13,bodymapST1_acq-abdomen,bodymapST1_acq-rightarm,bodymapST1_acq-leftface,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00007,ses-14,bodymapST2_acq-rightleg,bodymapST2_acq-leftarm,bodymapST2_acq-leftleg,,,,,,,,,
sub-00007,ses-15,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,,,,,,,,,,
sub-00007,ses-16,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-leftarm,pinellocalizer,,,,,,,
sub-00007,ses-17,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00007,ses-18,distractmap1_acq-rightface,distractmap1_acq-leftface,distractmap1_acq-rightface,distractmap1_acq-leftface,pinellocalizer,movemap,movemap,movemap,hyperalignment_acq-kungfury,,,
